,Bitcoin,SIG,FIG,FDG,SDG,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,UFE,CNH
Mean,3.94,2.39,2.41,1.96,2.13,2.11,2.36,2.64,2.22,2.29,2.38,2.29,2.45,1.73,1.12,1.88,1.89,2.07,1.87,1.87,1.41
Median,3.99,2.38,2.39,1.9,2.07,2.04,2.28,2.62,2.17,2.3,2.38,2.27,2.43,1.76,1.11,1.95,1.95,2.08,1.89,1.9,1.4
Maximum,5.86,3.74,3.77,3.75,4.37,4.06,4.12,3.89,4.15,3.74,3.67,3.52,3.78,3.07,2.68,3.34,3.77,3.57,3.15,3.08,3.06
Minimum,1.77,-2,1.36,0.85,0.8,0.51,0.92,1.39,0.8,1.02,0.83,1.11,1.35,-1.49,-0.44,-2.31,-2.94,-1.75,-1.75,-2.16,-0.92
Std.Deviation,0.75,0.47,0.4,0.52,0.56,0.65,0.61,0.49,0.49,0.45,0.48,0.46,0.43,0.46,0.58,0.56,0.57,0.52,0.53,0.53,0.55
Skewness,-0.17,-1.67,0.3,0.74,0.82,0.45,0.36,0.12,0.36,0.06,0.04,0.17,0.13,-1.86,-0.06,-3.03,-2.75,-2.42,-2.28,-2.53,0.01
Kurtosis,2.72,17.08,2.96,3.73,4.37,2.95,2.87,2.67,3.29,2.97,2.79,2.64,2.63,13.92,2.73,21.25,21,18.03,15.29,18.03,3.17
ADF,-13.174***,-21.992***,-21.977***,-15.461***,-17.098***,-11.125***,-12.317***,-15.484***,-14.953***,-16.764***,-17.899***,-16.734***,-17.309***,-22.709***,-12.578***,-20.718***,-19.426***,-20.764***,-22.115***,-18.606***,-14.484***
PP,-14.072***,-22.835***,-22.884***,-16.744***,-18.401***,-11.492,-13.025***,-17.104***,-16.028***,-18.256***,-19.711***,-18.073***,-19.003***,-23.286***,-13.055***,-21.761***,20.477***,-21.600***,-22.820***,-19.341***,-15.321***
KPSS,1.62***,0.79***,0.817***,3.64***,3.06***,1.39***,1.37***,2.38***,-2.01***,0.672***,1.04***,0.305***,2.42***,0.602***,3.22***,0.617***,0.141*,0.224***,0.564***,0.308***,1.98***
J-B,5.084*,5524***,9.849***,71.91***,120.1***,21.15***,14.26***,4.36,15.74***,0.34,1.31,6.358**,5.295*,3509***,2.29,9750***,9345***,6581***,4529***,6635***,0.79
B-G,52.318***,9.152***,0.99,14.999***,23.611***,64.793***,55.655***,64.096***,30.054***,28.700***,42.366***,24.758***,35.455***,1.88,11.930***,23.151***,22.526***,23.375***,16.047***,5.690**,8.310***
ARCH-LM,8.473***,0,0.28,0.17,0.92,0.35,0.16,0.54,0.11,1.32,0.05,0.06,0.6,0.02,0.51,10.110***,69.678***,22.904***,11.429***,42.438***,0.25
